,ID,Area Category,Rank Area Category,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Km Mandi,Tingkat/Lantai,Harga rata2 Komunitas,Harga Dipasarkan (dari Owner),Harga Terjual,Terjual/Belum,Encode Terjual/Belum,Status Kepemilikan,Rank Status Kepemilikan,Arah Hadap Rumah,Rank Arah Hadap Rumah,Posisi Rumah,Rank Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Pemilik Butuh Uang (Urgent),Encode Butuh Uang,Umur Bangunan,Siap Huni (Y/N),Furnish  (Y/N),Encode Furnish,Listed Berapa Lama,Encode Listed,Fasilitas Publik
125,,3,3,225.0,270.0,6,3,1.5,3950.0,3950.0,0.0,0,0,3,5,4,4,5,6,3,1,1.0,2.0,1,0,0,1,12.0,1
126,,4,4,345.0,300.0,5,4,3.0,7200.0,6900.0,0.0,0,0,3,5,2,2,5,6,3,1,1.0,1.0,1,1,1,1,8.0,1
127,,4,4,395.0,710.0,5,5,2.5,12000.0,11500.0,0.0,0,0,3,5,3,3,4,4,3,1,1.0,2.0,1,1,1,1,12.0,1
128,,4,4,360.0,380.0,6,4,2.0,9250.0,9250.0,0.0,0,0,3,5,4,4,5,6,3,1,1.0,3.0,1,0,0,1,12.0,1
129,,2,2,108.0,107.0,3,3,2.0,2200.0,2200.0,0.0,0,0,2,3,3,3,5,6,2,1,1.0,1.0,1,0,0,1,3.0,0
130,,2,2,135.0,250.0,9,5,2.0,1500.0,1500.0,0.0,0,0,3,5,2,2,4,4,2,1,1.0,2.0,1,0,0,1,3.0,0
131,,2,2,135.0,100.0,5,4,2.0,2500.0,2500.0,0.0,0,0,2,3,4,4,5,6,3,1,1.0,1.0,1,0,0,1,4.0,0
132,,2,2,180.0,150.0,4,3,2.0,1800.0,1950.0,0.0,0,0,3,5,3,3,5,6,2,1,1.0,2.0,1,0,0,1,3.0,0
133,,4,4,1818.0,360.0,9,8,2.0,40000.0,40000.0,0.0,0,0,3,5,4,4,5,6,3,1,1.0,3.0,1,1,1,1,2.0,1
134,,3,3,240.0,450.0,5,5,2.0,4500.0,4500.0,0.0,0,0,3,5,1,1,5,6,3,1,1.0,2.0,1,0,0,1,6.0,0
135,,3,3,368.0,200.0,4,4,2.0,4500.0,4200.0,0.0,0,0,3,5,3,3,5,6,3,1,1.0,2.0,1,0,0,1,12.0,0
136,,3,3,375.0,450.0,5,4,2.0,6000.0,6000.0,0.0,0,0,3,5,1,1,5,6,3,1,1.0,2.0,1,0,0,1,5.0,0
137,,2,2,180.0,130.0,4,2,2.0,2500.0,2500.0,0.0,0,0,3,5,1,1,5,6,3,1,1.0,2.0,1,0,0,1,7.0,1
138,,2,2,135.0,117.0,3,2,2.0,1600.0,1600.0,0.0,0,0,3,5,4,4,5,6,2,1,1.0,2.0,1,0,0,1,4.0,1
139,,2,2,84.0,106.0,2,5,2.0,1575.0,1575.0,0.0,0,0,3,5,4,4,5,6,2,1,1.0,1.0,1,0,0,1,4.0,1
140,,3,3,240.0,288.0,5,5,2.0,4750.0,4750.0,0.0,0,0,3,5,1,1,5,6,3,1,1.0,2.0,1,1,1,1,1.0,0
141,,2,2,135.0,100.0,4,3,2.0,2750.0,2750.0,0.0,0,0,4,4,4,4,5,6,3,1,1.0,2.0,1,1,1,1,2.0,0
142,,3,3,234.0,234.0,6,3,2.0,3500.0,3500.0,0.0,0,0,3,5,1,1,5,6,3,1,1.0,2.0,1,0,0,3,36.0,1
143,,2,2,66.0,135.0,4,4,3.0,1650.0,1650.0,0.0,0,0,2,3,2,2,5,6,2,1,1.0,2.0,1,0,0,2,24.0,1
144,,3,3,450.0,630.0,5,6,3.0,10500.0,10500.0,0.0,0,0,3,5,4,4,5,6,3,1,1.0,2.0,1,1,1,1,3.0,2
145,,2,2,157.0,100.0,3,2,2.0,1250.0,1250.0,0.0,0,0,3,5,2,2,5,6,2,1,1.0,2.0,1,0,0,1,12.0,1
146,,2,2,184.0,160.0,4,2,2.0,1700.0,1700.0,0.0,0,0,3,5,1,1,5,6,2,1,1.0,3.0,1,0,0,1,3.0,0
